sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,5,135,15,0.00420315
11,5,135,16,0.00244569
11,5,145,2,0.117493
11,5,145,4,0.159907
11,5,145,5,0.129819
11,5,145,6,0.0941921
11,5,145,7,0.0771009
11,5,145,8,0.0597515
11,5,155,6,0.112044
11,5,145,10,0.0203619
11,5,155,5,0.159208
11,5,145,12,0.0171342
11,5,145,13,0.00258827
11,5,145,14,0.00330757
11,5,145,15,2.6436e-4
11,5,145,16,9.83665e-4
11,5,155,1,0.0699842
11,5,155,2,0.0880719
11,5,155,3,0.15917
11,5,165,12,0.0091553
11,5,145,9,0.0468348
11,5,185,14,0.0023785
11,5,185,4,0.164649
11,5,185,5,0.119284
11,5,185,6,0.107865
11,5,185,7,0.0727423
11,5,185,8,0.05175
11,5,185,9,0.0324298
11,5,185,10,0.0263744
11,5,185,11,0.0106718
11,5,165,10,0.0227878
11,5,185,13,0.00772736
11,5,185,1,0.0717435
11,5,185,15,0.00142784
11,5,185,16,0.00322929
11,5,195,1,0.0504816
11,5,195,2,0.0886122
11,5,195,3,0.142399
11,5,195,4,0.183665
11,5,195,5,0.150622
11,5,195,6,0.108391
11,5,195,7,0.0867003
11,5,185,12,0.0104832
11,5,175,8,0.0521788
11,5,165,13,0.00812841
11,5,165,14,0.00121401
11,5,165,15,4.06192e-4
11,5,165,16,0.00317652
11,5,175,1,0.0779214
11,5,175,2,0.136596
11,5,175,3,0.168639
11,5,175,4,0.172193
11,5,175,5,0.128795
11,5,185,3,0.175554
11,5,175,7,0.0680531
11,5,185,2,0.141689
11,5,175,9,0.0371838
11,5,175,10,0.0215904
11,5,175,11,0.0160829
11,5,175,12,0.0120032
11,5,175,13,0.00457374
11,5,175,14,0.00277416
11,5,175,15,0.00162733
11,5,175,16,0.00334985
11,5,145,1,0.0862982
11,5,175,6,0.0964385
11,5,112,13,0.00956225
11,5,112,3,0.182834
11,5,112,4,0.170644
11,5,112,5,0.128386
11,5,112,6,0.125569
11,5,112,7,0.0767282
11,5,112,8,0.0686288
11,5,112,9,0.026005
11,5,112,10,0.0267093
11,5,122,7,0.0589877
11,5,112,12,0.0197204
11,5,102,16,0.00382294
11,5,112,14,0.00488948
11,5,112,15,2.70885e-5
11,5,112,16,0.00291202
11,5,122,1,0.0879946
11,5,122,2,0.0988039
11,5,122,3,0.179244
11,5,122,4,0.174884
11,5,122,5,0.110492
11,5,92,10,0.0431024
11,5,112,11,0.0183118
11,5,102,7,0.0908579
11,5,152,4,0.206552
11,5,92,13,0.0109932
11,5,92,14,0.00533705
11,5,92,15,0
11,5,92,16,5.80114e-5
11,5,102,1,0.0909938
11,5,102,2,0.111874
11,5,102,3,0.0823776
11,5,102,4,0.17308
11,5,112,2,0.0712835
11,5,102,6,0.0585085
11,5,112,1,0.067789
11,5,102,8,0.0668142
11,5,102,9,0.0805534
11,5,102,10,0.0219285
11,5,102,11,0.0278667
11,5,102,12,0.024199
11,5,102,13,0.00910132
11,5,102,14,0.00405581
11,5,102,15,8.15043e-4
11,5,122,8,0.0592253
11,5,102,5,0.153151
11,5,142,10,0.0252239
11,5,132,16,0.00266684
11,5,142,1,0.116748
11,5,142,2,0.138069
11,5,142,3,0.165427
11,5,142,4,0.178731
11,5,142,5,0.0904422
11,5,142,6,0.111319
11,5,142,7,0.0495582
11,5,122,6,0.100906
11,5,142,9,0.0424813
11,5,132,13,0.00559028
11,5,142,11,0.0233536
11,5,142,12,0.00713751
11,5,142,13,0.00542896
11,5,142,14,0.00788564
11,5,142,15,3.03294e-4
11,5,142,16,0.00118285
11,5,152,1,0.0725272
11,5,152,2,0.0963403
11,5,152,3,0.146446
11,5,142,8,0.0367087
11,5,132,4,0.186532
11,5,122,9,0.0517538
11,5,122,10,0.0289237
11,5,122,11,0.0275815
11,5,122,12,0.0117001
11,5,122,13,0.00468006
11,5,122,14,0.00260135
11,5,122,15,1.18783e-5
11,5,122,16,0.00220937
11,5,132,1,0.0793178
11,5,132,15,0.00369325
11,5,132,3,0.15672
11,5,132,14,0.00197951
11,5,132,5,0.104657
11,5,132,6,0.0934493
11,5,132,7,0.0756429
11,5,132,8,0.0642699
11,5,132,9,0.0443557
11,5,132,10,0.0187045
11,5,132,11,0.022077
11,5,132,12,0.00895361
11,5,92,8,0.0784894
11,5,132,2,0.13139
11,5,62,1,0
11,5,52,7,0
11,5,52,8,0.178797
11,5,52,9,0.178006
11,5,52,10,0
11,5,52,11,0
11,5,52,12,0
11,5,52,13,0
11,5,52,14,0
11,5,62,11,0
11,5,52,16,0
11,5,52,4,0.00791139
11,5,62,2,0
11,5,62,3,0
11,5,62,4,0
11,5,62,5,0
11,5,62,6,0
11,5,62,7,0
11,5,62,8,0
11,5,62,9,0
11,5,92,12,0.0337626
11,5,52,15,0
11,5,42,11,0.00398936
11,5,145,3,0.167346
11,5,25,8,0.106415
11,5,42,2,0.121011
11,5,42,3,0.242686
11,5,42,4,0.246676
11,5,42,5,0.250665
11,5,42,6,0.00598404
11,5,42,7,0
11,5,42,8,0.00731383
11,5,52,6,0.00791139
11,5,42,10,0
11,5,52,5,0.31091800000000003
11,5,42,12,0
11,5,42,13,0
11,5,42,14,0
11,5,42,15,0
11,5,42,16,0
11,5,52,1,0
11,5,52,2,0
11,5,52,3,0.316456
11,5,62,12,0
11,5,42,9,0.121676
11,5,82,14,0.0028117
11,5,82,4,0.0325353
11,5,82,5,0.157294
11,5,82,6,0.0678824
11,5,82,7,0.0435411
11,5,82,8,0.128213
11,5,82,9,0.202442
11,5,82,10,0.076638800000000007
11,5,82,11,0.0728631
11,5,62,10,1
11,5,82,13,0.0166292
11,5,82,1,0.0420148
11,5,82,15,0.0112468
11,5,82,16,8.03342e-5
11,5,92,1,0.119474
11,5,92,2,0.0609119
11,5,92,3,0.0885834
11,5,92,4,0.165477
11,5,92,5,0.153353
11,5,92,6,0.0900917
11,5,92,7,0.081419
11,5,82,12,0.00160668
11,5,72,8,0.108624
11,5,62,13,0
11,5,62,14,0
11,5,62,15,0
11,5,62,16,0
11,5,72,1,0.0744954
11,5,72,2,0.00678899
11,5,72,3,0.0623853
11,5,72,4,0.0757798
11,5,72,5,0.17633
11,5,82,3,0.0522976
11,5,72,7,0.205688
11,5,82,2,0.0919023
11,5,72,9,0.0234862
11,5,72,10,0.0770642
11,5,72,11,0.00311927
11,5,72,12,0.00238532
11,5,72,13,0.0348624
11,5,72,14,3.66972e-4
11,5,72,15,0.066789
11,5,72,16,0
11,5,92,11,0.025467
11,5,72,6,0.0818349
11,5,222,16,0
11,5,222,6,0.0928871
11,5,222,7,0.0904401
11,5,222,8,0.0650772
11,5,222,9,0.0209649
11,5,222,10,0.00195099
11,5,222,11,0.0245362
11,5,222,12,0.0195099
11,5,222,13,0.00856453
11,5,202,14,5.70896e-5
11,5,222,15,0
11,5,222,3,0.195331
11,5,232,1,0.0828647
11,5,232,2,0.116224
11,5,232,3,0.0913003
11,5,232,4,0.143661
11,5,232,5,0.131092
11,5,232,6,0.133904
11,5,232,7,0.0944104
11,5,232,9,0.0527437
