sourceTypeID,minModelYearID,maxModelYearID,monthID,dayID,idleRegionID,countyTypeID,totalIdleFraction
62,1950,2060,5,5,101,1,0.144750874
62,1950,2060,6,5,101,1,0.144750874
62,1950,2060,7,5,101,1,0.144750874
62,1950,2060,8,5,101,1,0.144750874
62,1950,2060,9,5,101,1,0.144750874
62,1950,2060,10,5,101,1,0.144750874
62,1950,2060,11,5,101,1,0.144750874
62,1950,2060,12,5,101,1,0.144750874
41,1950,2060,1,2,101,1,0.388366765
41,1950,2060,2,2,101,1,0.388366765
41,1950,2060,3,2,101,1,0.388366765
41,1950,2060,4,2,101,1,0.388366765
41,1950,2060,5,2,101,1,0.388366765
41,1950,2060,6,2,101,1,0.388366765
41,1950,2060,7,2,101,1,0.388366765
41,1950,2060,8,2,101,1,0.388366765
41,1950,2060,9,2,101,1,0.388366765
41,1950,2060,10,2,101,1,0.388366765
41,1950,2060,11,2,101,1,0.388366765
41,1950,2060,12,2,101,1,0.388366765
41,1950,2060,1,5,101,1,0.390171521
41,1950,2060,2,5,101,1,0.390171521
41,1950,2060,3,5,101,1,0.390171521
41,1950,2060,4,5,101,1,0.390171521
41,1950,2060,5,5,101,1,0.390171521
41,1950,2060,6,5,101,1,0.390171521
41,1950,2060,7,5,101,1,0.390171521
41,1950,2060,8,5,101,1,0.390171521
41,1950,2060,9,5,101,1,0.390171521
41,1950,2060,10,5,101,1,0.390171521
41,1950,2060,11,5,101,1,0.390171521
41,1950,2060,12,5,101,1,0.390171521
