dayID,hourID,sourceTypeID,allocationFraction
2,10,51,0.009244893
2,11,51,0.03389794
2,12,51,0.083204034
2,13,51,0.049306094
2,14,51,0.024653047
2,15,51,0.024653047
2,16,51,0.024653047
2,17,51,0.008964744
2,18,51,0.008964744
2,19,51,0.008964744
2,20,51,0.008964744
2,21,51,0.049306094
2,22,51,0.008964744
2,23,51,0.008964744
2,24,51,0.008964744
5,1,51,4.49112e-4
5,2,51,0.008360394
5,3,51,0.009880466
5,4,51,8.01119e-4
5,5,51,0.155254997
5,6,51,0.167772791
5,7,51,0.123771624
5,8,51,0.053706035
5,9,51,0.060283219
5,10,51,0.046671556
5,11,51,0.032846255
5,12,51,0.049133543
5,13,51,0.043195604
5,14,51,0.044349288
5,15,51,0.041512378
5,16,51,0.034676091
5,17,51,0.030324411
5,18,51,0.014058428
5,19,51,0.018107548
5,20,51,0.016925458
5,21,51,0.035212115
5,22,51,0.008084017
5,23,51,0.003040143
5,24,51,0.001583408
2,1,52,0.016870864
2,2,52,0.0112626
2,3,52,0.027132544
2,4,52,0.036163507
2,5,52,0.04151581
2,6,52,0.059057348
2,7,52,0.04879916
2,8,52,0.053596296
2,9,52,0.061649605
2,10,52,0.071231046
2,11,52,0.085002126
2,12,52,0.090627218
2,13,52,0.082407108
2,14,52,0.076238522
2,15,52,0.042679108
2,16,52,0.030666986
2,17,52,0.027889758
2,18,52,0.016841917
2,19,52,0.025509452
2,20,52,0.018141426
2,21,52,0.011805492
2,22,52,0.028506082
2,23,52,0.018869963
2,24,52,0.017536061
5,1,52,0.002214997
5,2,52,0.001552641
5,3,52,0.002223881
5,4,52,0.003328957
5,5,52,0.003867126
5,6,52,0.005936467
5,7,52,0.007698837
5,8,52,0.015485348
5,9,52,0.040476166
5,10,52,0.053450102
5,11,52,0.086478982
5,12,52,0.105695723
5,13,52,0.106135571
5,14,52,0.107941439
5,15,52,0.103855616
5,16,52,0.096359912
5,17,52,0.083411172
5,18,52,0.07548188
5,19,52,0.048570747
5,20,52,0.022658276
5,21,52,0.012151463
5,22,52,0.008207143
5,23,52,0.003985048
5,24,52,0.002832506
2,1,53,0.016870864
