year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by
2022,36109,1,41,47,2,2,0,0,0,11.039299964904783,19812.80078125,NA,NA,NA,NA,1
2022,36109,1,41,47,2,3,0.06107741966843605,182203,4245.10986328125,11.039299964904783,19812.80078125,NA,NA,NA,NA,1
2022,36109,1,41,47,2,4,0.00311383628286421,11419.599609375,194.2530059814453,11.039299964904783,19812.80078125,NA,NA,NA,NA,1
2022,36109,1,41,47,2,5,0.06196939945220947,122706,5074.89990234375,11.039299964904783,19812.80078125,NA,NA,NA,NA,1
2022,36109,1,41,47,3,1,0.08256696164608002,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,41,47,3,2,0,0,0,2.9257900714874268,4377.27978515625,NA,NA,NA,NA,1
2022,36109,1,41,47,3,3,0.4796764850616455,40254.6015625,937.8809814453124,2.9257900714874268,4377.27978515625,NA,NA,NA,NA,1
2022,36109,1,41,47,3,4,0.02228865027427673,2522.949951171875,42.91669845581055,2.9257900714874268,4377.27978515625,NA,NA,NA,NA,1
2022,36109,1,41,47,3,5,0.5872112512588501,27109.80078125,1121.2099609375,2.9257900714874268,4377.27978515625,NA,NA,NA,NA,1
2022,36109,1,42,42,1,1,0.05174480378627777,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,42,42,1,2,0,0,0,11.652099609375,26124.900390625,NA,NA,NA,NA,1
2022,36109,1,42,42,1,3,0.04249848425388336,254450,5928.3701171875,11.652099609375,26124.900390625,NA,NA,NA,NA,1
2022,36109,1,42,42,1,4,0.00406376831233501,15947.599609375,271.27801513671875,11.652099609375,26124.900390625,NA,NA,NA,NA,1
2022,36109,1,42,42,1,5,0.03531237691640854,171362,7087.2001953125,11.652099609375,26124.900390625,NA,NA,NA,NA,1
2022,36109,1,42,42,2,1,0.00157815183047205,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,42,42,2,2,0,0,0,1.0703699588775637,1893.3399658203125,NA,NA,NA,NA,1
