sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,1,115,16,0
11,1,122,1,0
11,1,122,2,0
11,1,122,3,0
11,1,122,4,0
11,1,122,5,0
11,1,122,6,0
11,1,122,7,0
11,1,122,8,0
11,1,122,9,0
11,1,122,10,0
11,1,122,11,0
11,1,122,12,0
11,1,122,13,0
11,1,122,14,0
11,1,122,15,0
11,1,122,16,0
11,1,125,1,0
11,1,125,2,0
11,1,125,3,0
11,1,125,4,0
11,1,125,5,0
11,1,125,6,0
11,1,125,7,0
11,1,125,8,0
11,1,125,9,0
11,1,125,10,0
11,1,125,11,0
11,1,125,12,0
11,1,125,13,0
11,1,125,14,0
11,1,125,15,0
11,1,125,16,0
11,1,132,1,0
11,1,132,2,0
11,1,132,3,0
11,1,132,4,0
11,1,132,5,0
11,1,132,6,0
11,1,132,7,0
11,1,132,8,0
11,1,132,9,0
11,1,132,10,0
11,1,132,11,0
11,1,132,12,0
11,1,132,13,0
11,1,132,14,0
11,1,132,15,0
11,1,132,16,0
11,1,135,1,0
11,1,135,2,0
11,1,135,3,0
11,1,135,4,0
11,1,135,5,0
11,1,135,6,0
11,1,135,7,0
11,1,135,8,0
11,1,135,9,0
11,1,135,10,0
11,1,135,11,0
11,1,135,12,0
11,1,135,13,0
11,1,135,14,0
11,1,135,15,0
11,1,135,16,0
11,1,142,1,0
11,1,142,2,0
11,1,142,3,0
11,1,142,4,0
11,1,142,5,0
11,1,142,6,0
11,1,142,7,0
11,1,142,8,0
11,1,142,9,0
11,1,142,10,0
11,1,142,11,0
11,1,142,12,0
11,1,142,13,0
11,1,142,14,0
11,1,142,15,0
11,1,142,16,0
11,1,145,1,0
11,1,145,2,0
11,1,145,3,0
11,1,145,4,0
11,1,145,5,0
11,1,145,6,0
11,1,145,7,0
11,1,145,8,0
11,1,145,9,0
11,1,145,10,0
11,1,145,11,0
11,1,145,12,0
11,1,145,13,0
11,1,145,14,0
11,1,145,15,0
11,1,145,16,0
11,1,152,1,0
11,1,152,2,0
11,1,152,3,0
11,1,152,4,0
11,1,152,5,0
11,1,152,6,0
11,1,152,7,0
11,1,152,8,0
11,1,152,9,0
11,1,152,10,0
11,1,152,11,0
11,1,152,12,0
11,1,152,13,0
11,1,152,14,0
11,1,152,15,0
11,1,152,16,0
11,1,155,1,0
11,1,155,2,0
11,1,155,3,0
11,1,155,4,0
11,1,155,5,0
11,1,155,6,0
11,1,155,7,0
11,1,155,8,0
11,1,155,9,0
11,1,155,10,0
11,1,155,11,0
11,1,155,12,0
11,1,155,13,0
11,1,155,14,0
11,1,155,15,0
11,1,155,16,0
11,1,162,1,0
11,1,162,2,0
11,1,162,3,0
11,1,162,4,0
11,1,162,5,0
11,1,162,6,0
11,1,162,7,0
11,1,162,8,0
11,1,162,9,0
11,1,162,10,0
11,1,162,11,0
11,1,162,12,0
11,1,162,13,0
11,1,162,14,0
11,1,162,15,0
11,1,162,16,0
11,1,165,1,0
11,1,165,2,0
11,1,165,3,0
11,1,165,4,0
11,1,165,5,0
11,1,165,6,0
11,1,165,7,0
11,1,165,8,0
11,1,165,9,0
11,1,165,10,0
11,1,165,11,0
11,1,165,12,0
11,1,165,13,0
11,1,165,14,0
11,1,165,15,0
11,1,165,16,0
11,1,172,1,0
11,1,172,2,0
11,1,172,3,0
11,1,172,4,0
11,1,172,5,0
11,1,172,6,0
11,1,172,7,0
11,1,172,8,0
11,1,172,9,0
