yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
2052,54,0,2286539,1
2052,61,0,2333520,1
2052,62,0,1550800,1
2053,11,0,11425718,1
2053,21,0,66835341,1
2053,31,0,225212076,1
2053,32,0,21289971,1
2053,41,0,565686,1
2053,42,0,174222,1
2053,43,0,794962,1
2053,51,0,115389,1
2053,52,0,17101916,1
2053,53,0,754267,1
2053,54,0,2319391,1
2053,61,0,2330252,1
2053,62,0,1548628,1
2054,11,0,11495975,1
2054,21,0,66730609,1
2054,31,0,227237334,1
2054,32,0,21481424,1
2054,41,0,571054,1
2054,42,0,175875,1
2054,43,0,802506,1
2054,51,0,117047,1
2054,52,0,17347632,1
2054,53,0,765104,1
2054,54,0,2352716,1
2054,61,0,2326988,1
2054,62,0,1546459,1
2055,11,0,11566664,1
2055,21,0,66626041,1
2055,31,0,229280804,1
2055,32,0,21674600,1
2055,41,0,576474,1
2055,42,0,177544,1
2055,43,0,810122,1
2055,51,0,118728,1
2055,52,0,17596878,1
2055,53,0,776097,1
2055,54,0,2386519,1
2055,61,0,2323729,1
2055,62,0,1544293,1
2056,11,0,11637787,1
2056,21,0,66521637,1
2056,31,0,231342651,1
2056,32,0,21869512,1
2056,41,0,581944,1
2056,42,0,179229,1
2056,43,0,817810,1
2056,51,0,120434,1
2056,52,0,17849705,1
2056,53,0,787248,1
2056,54,0,2420808,1
2056,61,0,2320475,1
2056,62,0,1542130,1
2057,11,0,11709348,1
2057,21,0,66417397,1
2057,31,0,233423039,1
2057,32,0,22066177,1
2057,41,0,587467,1
2057,42,0,180930,1
2057,43,0,825572,1
2057,51,0,122164,1
2057,52,0,18106164,1
2057,53,0,798559,1
2057,54,0,2455589,1
2057,61,0,2317225,1
2057,62,0,1539971,1
2058,11,0,11781349,1
2058,21,0,66313320,1
2058,31,0,235522135,1
2058,32,0,22264611,1
2058,41,0,593042,1
2058,42,0,182647,1
2058,43,0,833406,1
2058,51,0,123920,1
2058,52,0,18366309,1
2058,53,0,810032,1
2058,54,0,2490870,1
2058,61,0,2313979,1
2058,62,0,1537814,1
2059,11,0,11853792,1
2059,21,0,66209406,1
2059,31,0,237640108,1
2059,32,0,22464830,1
2059,41,0,598670,1
2059,42,0,184381,1
2059,43,0,841315,1
2059,51,0,125700,1
2059,52,0,18630190,1
2059,53,0,821671,1
2059,54,0,2526658,1
2059,61,0,2310739,1
2059,62,0,1535660,1
2060,11,0,11926681,1
2060,21,0,66105655,1
2060,31,0,239777127,1
2060,32,0,22666848,1
2060,41,0,604352,1
2060,42,0,186130,1
2060,43,0,849300,1
2060,51,0,127506,1
2060,52,0,18897864,1
2060,53,0,833476,1
2060,54,0,2562961,1
2060,61,0,2307502,1
2060,62,0,1533509,1
