MOVESScenarioID,MOVESRunID,yearID,monthID,dayID,hourID,zoneID,sourceTypeID,regClassID,SCC,fuelTypeID,modelYearID,pollutantID,processID,temperature,relHumidity,ratePerStart
moves_anywhere,1,2025,0,0,0,361090,52,46,,1,0,1,2,50.64447784423828,66.76747131347656,7.533889174737851e-7
moves_anywhere,1,2025,0,0,0,361090,52,47,,1,0,1,2,50.64447784423828,66.76747131347656,1.195919594465522e-6
moves_anywhere,1,2025,0,0,0,361090,53,41,,1,0,1,2,50.64447784423828,66.76747131347656,4.1927839333766315e-7
moves_anywhere,1,2025,0,0,0,361090,53,42,,1,0,1,2,50.64447784423828,66.76747131347656,1.1704120197464363e-6
moves_anywhere,1,2025,0,0,0,361090,53,46,,1,0,1,2,50.64447784423828,66.76747131347656,1.3615086800200515e-6
moves_anywhere,1,2025,0,0,0,361090,53,47,,1,0,1,2,50.64447784423828,66.76747131347656,2.0069669517397415e-6
moves_anywhere,1,2025,0,0,0,361090,54,41,,1,0,1,2,50.64447784423828,66.76747131347656,8.911954978430003e-7
moves_anywhere,1,2025,0,0,0,361090,54,42,,1,0,1,2,50.64447784423828,66.76747131347656,6.41816313873278e-6
moves_anywhere,1,2025,0,0,0,361090,54,46,,1,0,1,2,50.64447784423828,66.76747131347656,6.014606697135605e-6
moves_anywhere,1,2025,0,0,0,361090,54,47,,1,0,1,2,50.64447784423828,66.76747131347656,4.601145974447718e-6
moves_anywhere,1,2025,0,0,0,361090,61,46,,1,0,1,2,50.64447784423828,66.76747131347656,3.6156911846774165e-6
moves_anywhere,1,2025,0,0,0,361090,61,47,,1,0,1,2,50.64447784423828,66.76747131347656,2.5504173208901193e-6
moves_anywhere,1,2025,0,0,0,361090,21,20,,2,0,1,2,50.64447784423828,66.76747131347656,1.2145264918217435e-6
moves_anywhere,1,2025,0,0,0,361090,31,30,,2,0,1,2,50.64447784423828,66.76747131347656,1.2613967328434228e-6
moves_anywhere,1,2025,0,0,0,361090,31,41,,2,0,1,2,50.64447784423828,66.76747131347656,6.369209017975663e-7
