MOVESScenarioID,MOVESRunID,yearID,monthID,dayID,hourID,zoneID,pollutantID,processID,sourceTypeID,regClassID,SCC,fuelTypeID,modelYearID,temperature,relHumidity,ratePerVehicle
moves_anywhere,1,2025,0,0,0,361090,119,16,41,47,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,41,46,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,41,42,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,32,41,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,32,30,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,31,41,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,31,30,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,21,20,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,16,11,10,,1,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,32,30,,5,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,31,30,,5,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,21,20,,5,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,61,47,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,54,47,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,53,47,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,52,47,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,51,47,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,43,47,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,42,48,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,41,47,,3,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,62,49,,2,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,62,47,,2,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,62,46,,2,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,61,49,,2,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,61,47,,2,0,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,119,2,61,46,,2,0,50.64447784423828,66.76747131347656,0
