year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,by
2025,42091,1,32,30,1,2,0,0,0,49.12459945678711,68182.296875,1
2025,42091,1,32,30,1,3,0.13859811425209045,2901530,62578.8984375,49.12459945678711,68182.296875,1
2025,42091,1,32,30,1,4,5.309789180755615,119355000,2191710,49.12459945678711,68182.296875,1
2025,42091,1,32,30,1,5,9.960164070129395,161918000,6388350,49.12459945678711,68182.296875,1
2025,42091,1,32,30,2,2,0,0,0,0.24140599370002747,294.239013671875,1
2025,42091,1,32,30,2,3,0.0018385514849796891,12444.2998046875,268.3940124511719,0.24140599370002747,294.239013671875,1
2025,42091,1,32,30,2,4,0.06744430959224701,511901,9400.009765625,0.24140599370002747,294.239013671875,1
2025,42091,1,32,30,2,5,0.1437768191099167,694447,27398.900390625,0.24140599370002747,294.239013671875,1
2025,42091,1,32,30,5,2,0,0,0,0.1950950026512146,273.13800048828125,1
2025,42091,1,32,30,5,3,4.080799990333617e-4,11648.599609375,251.23199462890625,0.1950950026512146,273.13800048828125,1
2025,42091,1,32,30,5,4,0.015970295295119286,479169,8798.9404296875,0.1950950026512146,273.13800048828125,1
2025,42091,1,32,30,5,5,0.028060654178261757,650042,25646.900390625,0.1950950026512146,273.13800048828125,1
2025,42091,1,32,30,9,2,0,0,0,1.265589952468872,2171.739990234375,1
2025,42091,1,32,30,9,3,0,92505,1995.1099853515625,1.265589952468872,2171.739990234375,1
2025,42091,1,32,30,9,4,0,3805220,69875.1015625,1.265589952468872,2171.739990234375,1
2025,42091,1,32,30,9,5,0,5162170,203670,1.265589952468872,2171.739990234375,1
2025,42091,1,32,41,1,2,0,0,0,10.139699935913086,13089.900390625,1
2025,42091,1,32,41,1,3,0.08622267097234726,562177,12124.7998046875,10.139699935913086,13089.900390625,1
2025,42091,1,32,41,1,4,2.9604110717773438,23125300,424648,10.139699935913086,13089.900390625,1
