sourceTypeID,monthID,roadTypeID,dayID,dayVMTFraction,FIP
31,8,2,5,0.72118,36085
31,8,3,2,0.27882,36085
31,8,3,5,0.72118,36085
31,8,4,2,0.237635,36085
31,8,4,5,0.762365,36085
31,8,5,2,0.237635,36085
31,8,5,5,0.762365,36085
31,9,1,2,0.237635,36085
31,9,1,5,0.762365,36085
31,9,2,2,0.27882,36085
31,9,2,5,0.72118,36085
31,9,3,2,0.27882,36085
31,9,3,5,0.72118,36085
31,9,4,2,0.237635,36085
31,9,4,5,0.762365,36085
31,9,5,2,0.237635,36085
31,9,5,5,0.762365,36085
31,10,1,2,0.237635,36085
31,10,1,5,0.762365,36085
31,10,2,2,0.27882,36085
31,10,2,5,0.72118,36085
31,10,3,2,0.27882,36085
31,10,3,5,0.72118,36085
31,10,4,2,0.237635,36085
31,10,4,5,0.762365,36085
31,10,5,2,0.237635,36085
31,10,5,5,0.762365,36085
31,11,1,2,0.237635,36085
31,11,1,5,0.762365,36085
31,11,2,2,0.27882,36085
31,11,2,5,0.72118,36085
31,11,3,2,0.27882,36085
31,11,3,5,0.72118,36085
31,11,4,2,0.237635,36085
31,11,4,5,0.762365,36085
31,11,5,2,0.237635,36085
31,11,5,5,0.762365,36085
31,12,1,2,0.237635,36085
31,12,1,5,0.762365,36085
31,12,2,2,0.27882,36085
31,12,2,5,0.72118,36085
31,12,3,2,0.27882,36085
31,12,3,5,0.72118,36085
31,12,4,2,0.237635,36085
31,12,4,5,0.762365,36085
31,12,5,2,0.237635,36085
31,12,5,5,0.762365,36085
32,1,1,2,0.237635,36085
32,1,1,5,0.762365,36085
32,1,2,2,0.27882,36085
32,1,2,5,0.72118,36085
32,1,3,2,0.27882,36085
32,1,3,5,0.72118,36085
32,1,4,2,0.237635,36085
32,1,4,5,0.762365,36085
32,1,5,2,0.237635,36085
32,1,5,5,0.762365,36085
32,2,1,2,0.237635,36085
32,2,1,5,0.762365,36085
32,2,2,2,0.27882,36085
32,2,2,5,0.72118,36085
32,2,3,2,0.27882,36085
32,2,3,5,0.72118,36085
32,2,4,2,0.237635,36085
32,2,4,5,0.762365,36085
32,2,5,2,0.237635,36085
32,2,5,5,0.762365,36085
32,3,1,2,0.237635,36085
32,3,1,5,0.762365,36085
32,3,2,2,0.27882,36085
32,3,2,5,0.72118,36085
32,3,3,2,0.27882,36085
32,3,3,5,0.72118,36085
32,3,4,2,0.237635,36085
32,3,4,5,0.762365,36085
32,3,5,2,0.237635,36085
32,3,5,5,0.762365,36085
32,4,1,2,0.237635,36085
32,4,1,5,0.762365,36085
32,4,2,2,0.27882,36085
32,4,2,5,0.72118,36085
32,4,3,2,0.27882,36085
32,4,3,5,0.72118,36085
32,4,4,2,0.237635,36085
32,4,4,5,0.762365,36085
32,4,5,2,0.237635,36085
32,4,5,5,0.762365,36085
32,5,1,2,0.237635,36085
32,5,1,5,0.762365,36085
32,5,2,2,0.27882,36085
32,5,2,5,0.72118,36085
32,5,3,2,0.27882,36085
32,5,3,5,0.72118,36085
32,5,4,2,0.237635,36085
