SourceTypeID,RoadTypeID,HourDayID,avgSpeedBinID,avgSpeedFraction,FIP
11,5,102,6,0.113293,36085
11,5,112,9,0.0163545,36085
11,5,172,10,0.0153773,36085
11,5,122,2,0.102423,36085
11,5,122,1,0.0989814,36085
11,5,112,16,0.00730467,36085
11,5,112,15,0.00843112,36085
11,5,112,14,0.0199548,36085
11,5,112,13,0.0288532,36085
11,5,112,12,0.0247343,36085
11,5,102,14,0.0275164,36085
11,5,112,10,0.0131181,36085
11,5,92,10,0.0145489,36085
11,5,112,8,0.0217901,36085
11,5,112,7,0.0457896,36085
11,5,112,6,0.102554,36085
11,5,112,5,0.185879,36085
11,5,112,4,0.197677,36085
11,5,112,3,0.137649,36085
11,5,112,2,0.0839212,36085
11,5,112,1,0.0909238,36085
11,5,112,11,0.0150659,36085
11,5,72,10,0.0227119,36085
11,5,92,12,0.0166508,36085
11,5,82,3,0.1013,36085
11,5,82,2,0.0725976,36085
11,5,82,1,0.0914186,36085
11,5,72,16,0.0247681,36085
11,5,72,15,0.0256331,36085
11,5,72,14,0.0266988,36085
11,5,72,13,0.039901,36085
11,5,82,5,0.18039,36085
11,5,72,11,0.0293129,36085
11,5,82,6,0.108881,36085
11,5,72,9,0.0295073,36085
11,5,72,8,0.0400765,36085
11,5,72,7,0.0893242,36085
11,5,72,6,0.151611,36085
11,5,72,5,0.131363,36085
11,5,72,4,0.135475,36085
11,5,72,3,0.0804977,36085
11,5,72,2,0.0564381,36085
11,5,72,12,0.0299586,36085
11,5,82,15,0.0282617,36085
11,5,92,9,0.0218956,36085
11,5,92,8,0.0285176,36085
11,5,92,7,0.0660551,36085
11,5,92,6,0.129643,36085
11,5,92,5,0.186704,36085
11,5,92,4,0.161417,36085
11,5,92,3,0.105683,36085
11,5,92,2,0.0703498,36085
11,5,82,4,0.145131,36085
11,5,82,16,0.0103317,36085
11,5,122,5,0.1681,36085
11,5,82,14,0.0316877,36085
11,5,82,13,0.0334696,36085
11,5,82,12,0.019174,36085
11,5,82,11,0.0168844,36085
11,5,82,10,0.0152135,36085
11,5,82,9,0.030205,36085
11,5,82,8,0.0369057,36085
11,5,82,7,0.0781484,36085
11,5,92,1,0.0929349,36085
11,5,152,8,0.0219832,36085
11,5,142,15,0.00624015,36085
11,5,162,1,0.109752,36085
11,5,152,16,0.00604695,36085
11,5,152,15,0.00672212,36085
11,5,152,14,0.0170943,36085
11,5,152,13,0.0239068,36085
11,5,152,12,0.0185075,36085
11,5,152,11,0.0150059,36085
11,5,162,3,0.137375,36085
11,5,152,9,0.0163816,36085
11,5,162,4,0.201891,36085
11,5,152,7,0.0392149,36085
11,5,152,6,0.0837994,36085
11,5,152,5,0.165522,36085
11,5,152,4,0.19993,36085
11,5,152,3,0.157174,36085
11,5,152,2,0.106586,36085
11,5,152,1,0.106263,36085
11,5,122,3,0.151549,36085
11,5,152,10,0.0158618,36085
11,5,162,13,0.0259627,36085
11,5,172,7,0.0471111,36085
11,5,172,6,0.0992284,36085
11,5,172,5,0.17665,36085
11,5,172,4,0.20149,36085
11,5,172,3,0.135491,36085
11,5,172,2,0.0836622,36085
11,5,172,1,0.0941787,36085
11,5,162,16,0.00556992,36085
11,5,162,2,0.0979091,36085
11,5,162,14,0.0238624,36085
11,5,142,14,0.0178772,36085
11,5,162,12,0.0219259,36085
11,5,162,11,0.0171095,36085
11,5,162,10,0.0151216,36085
11,5,162,9,0.0179376,36085
11,5,162,8,0.0206742,36085
11,5,162,7,0.0434725,36085
11,5,162,6,0.0857165,36085
11,5,162,5,0.168224,36085
11,5,162,15,0.00749566,36085
11,5,122,14,0.0206117,36085
11,5,142,16,0.00512058,36085
11,5,132,7,0.0427972,36085
11,5,132,6,0.081231,36085
11,5,132,5,0.157084,36085
11,5,132,4,0.205069,36085
11,5,132,3,0.151179,36085
11,5,132,2,0.11522,36085
11,5,132,1,0.110785,36085
11,5,132,9,0.0161446,36085
11,5,122,15,0.00671752,36085
11,5,132,10,0.0154926,36085
11,5,122,13,0.02782,36085
11,5,122,12,0.022415,36085
11,5,122,11,0.0127305,36085
11,5,122,10,0.0125574,36085
11,5,122,9,0.0172858,36085
11,5,122,8,0.0221447,36085
11,5,122,7,0.0423799,36085
11,5,122,6,0.0880973,36085
11,5,122,16,0.00422001,36085
11,5,142,3,0.149992,36085
11,5,142,13,0.0231443,36085
11,5,142,12,0.0176827,36085
11,5,142,11,0.0136447,36085
11,5,142,10,0.0133879,36085
11,5,142,9,0.0148556,36085
11,5,142,8,0.0201791,36085
11,5,142,7,0.0385415,36085
11,5,142,6,0.0823547,36085
11,5,132,8,0.0222303,36085
11,5,142,4,0.201789,36085
11,5,45,1,0.0961236,36085
11,5,142,2,0.116645,36085
11,5,142,1,0.114646,36085
11,5,132,16,0.00650924,36085
11,5,132,15,0.00520609,36085
11,5,132,14,0.0163811,36085
11,5,132,13,0.0210833,36085
11,5,132,12,0.0183084,36085
11,5,132,11,0.0152785,36085
11,5,142,5,0.163898,36085
11,5,175,12,0.0138598,36085
11,5,175,3,0.183208,36085
11,5,185,5,0.146642,36085
11,5,185,4,0.214071,36085
11,5,185,3,0.182508,36085
11,5,185,2,0.127084,36085
11,5,185,1,0.102383,36085
11,5,175,16,0.00384266,36085
11,5,175,15,0.00283575,36085
11,5,185,7,0.0376989,36085
11,5,175,13,0.0159644,36085
11,5,185,8,0.0237787,36085
11,5,175,11,0.0122697,36085
11,5,175,10,0.0130768,36085
11,5,175,9,0.0172114,36085
11,5,175,8,0.0231751,36085
11,5,175,7,0.0373135,36085
11,5,175,6,0.0768988,36085
11,5,175,5,0.14905,36085
11,5,195,14,0.010937,36085
11,5,175,14,0.0080737,36085
11,5,195,1,0.0947845,36085
11,5,145,9,0.0148073,36085
11,5,195,11,0.0172994,36085
11,5,195,9,0.0196184,36085
11,5,195,8,0.0283096,36085
11,5,195,7,0.0456779,36085
11,5,195,6,0.0863853,36085
11,5,195,5,0.15991,36085
11,5,195,4,0.207109,36085
11,5,185,6,0.0742278,36085
11,5,195,2,0.10746,36085
11,5,175,2,0.129977,36085
11,5,185,16,0.00356326,36085
11,5,185,15,0.0027463,36085
11,5,185,14,0.00849122,36085
11,5,185,13,0.0155372,36085
