sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,5,102,4,0.184136
11,5,92,11,0.017643
11,5,102,13,0.029236
11,5,102,12,0.0200369
11,5,102,11,0.0145967
11,5,102,10,0.0151625
11,5,102,9,0.0154544
11,5,102,8,0.0269229
11,5,102,7,0.0520495
11,5,102,15,0.0143932
11,5,102,5,0.185434
11,5,102,16,0.00965513
11,5,102,3,0.113632
11,5,102,2,0.0772784
11,5,102,1,0.101204
11,5,92,16,0.010197
11,5,92,15,0.0171738
11,5,92,14,0.0267755
11,5,92,13,0.0338112
11,5,122,4,0.201967
11,5,102,6,0.113293
11,5,112,9,0.0163545
11,5,172,10,0.0153773
11,5,122,2,0.102423
11,5,122,1,0.0989814
11,5,112,16,0.00730467
11,5,112,15,0.00843112
11,5,112,14,0.0199548
11,5,112,13,0.0288532
11,5,112,12,0.0247343
11,5,102,14,0.0275164
11,5,112,10,0.0131181
11,5,92,10,0.0145489
11,5,112,8,0.0217901
11,5,112,7,0.0457896
11,5,112,6,0.102554
11,5,112,5,0.185879
11,5,112,4,0.197677
11,5,112,3,0.137649
11,5,112,2,0.0839212
11,5,112,1,0.0909238
11,5,112,11,0.0150659
11,5,72,10,0.0227119
11,5,92,12,0.0166508
11,5,82,3,0.1013
11,5,82,2,0.0725976
11,5,82,1,0.0914186
11,5,72,16,0.0247681
11,5,72,15,0.0256331
11,5,72,14,0.0266988
11,5,72,13,0.039901
11,5,82,5,0.18039
11,5,72,11,0.0293129
11,5,82,6,0.108881
11,5,72,9,0.0295073
11,5,72,8,0.0400765
11,5,72,7,0.0893242
11,5,72,6,0.151611
11,5,72,5,0.131363
11,5,72,4,0.135475
11,5,72,3,0.0804977
11,5,72,2,0.0564381
11,5,72,12,0.0299586
11,5,82,15,0.0282617
11,5,92,9,0.0218956
11,5,92,8,0.0285176
11,5,92,7,0.0660551
11,5,92,6,0.129643
11,5,92,5,0.186704
11,5,92,4,0.161417
11,5,92,3,0.105683
11,5,92,2,0.0703498
11,5,82,4,0.145131
11,5,82,16,0.0103317
11,5,122,5,0.1681
11,5,82,14,0.0316877
11,5,82,13,0.0334696
11,5,82,12,0.019174
11,5,82,11,0.0168844
11,5,82,10,0.0152135
11,5,82,9,0.030205
11,5,82,8,0.0369057
11,5,82,7,0.0781484
11,5,92,1,0.0929349
11,5,152,8,0.0219832
11,5,142,15,0.00624015
11,5,162,1,0.109752
11,5,152,16,0.00604695
11,5,152,15,0.00672212
11,5,152,14,0.0170943
11,5,152,13,0.0239068
11,5,152,12,0.0185075
11,5,152,11,0.0150059
11,5,162,3,0.137375
11,5,152,9,0.0163816
11,5,162,4,0.201891
11,5,152,7,0.0392149
11,5,152,6,0.0837994
11,5,152,5,0.165522
11,5,152,4,0.19993
11,5,152,3,0.157174
11,5,152,2,0.106586
11,5,152,1,0.106263
11,5,122,3,0.151549
11,5,152,10,0.0158618
11,5,162,13,0.0259627
11,5,172,7,0.0471111
11,5,172,6,0.0992284
11,5,172,5,0.17665
11,5,172,4,0.20149
11,5,172,3,0.135491
11,5,172,2,0.0836622
11,5,172,1,0.0941787
11,5,162,16,0.00556992
11,5,162,2,0.0979091
11,5,162,14,0.0238624
11,5,142,14,0.0178772
11,5,162,12,0.0219259
11,5,162,11,0.0171095
11,5,162,10,0.0151216
11,5,162,9,0.0179376
11,5,162,8,0.0206742
11,5,162,7,0.0434725
11,5,162,6,0.0857165
11,5,162,5,0.168224
11,5,162,15,0.00749566
11,5,122,14,0.0206117
11,5,142,16,0.00512058
11,5,132,7,0.0427972
11,5,132,6,0.081231
11,5,132,5,0.157084
11,5,132,4,0.205069
11,5,132,3,0.151179
